Original_Field_Name,Tableau_Field_Name,Data_Type,Table_Name,Table_Reference_SQL,Used_In_Workbook
away_coach,away_coach,string,nfl_games,'nfl_games.away_coach',No
away_moneyline,away_moneyline,real,nfl_games,'nfl_games.away_moneyline',No
away_qb_id,away_qb_id,string,nfl_games,'nfl_games.away_qb_id',No
away_qb_name,away_qb_name,string,nfl_games,'nfl_games.away_qb_name',No
away_rest,away_rest,integer,nfl_games,'nfl_games.away_rest',No
away_score,away_score,real,nfl_games,'nfl_games.away_score',Yes
away_spread_odds,away_spread_odds,real,nfl_games,'nfl_games.away_spread_odds',No
away_team,away_team,string,nfl_games,'nfl_games.away_team',Yes
created_date,created_date,date,nfl_games,'nfl_games.created_date',No
div_game,div_game,integer,nfl_games,'nfl_games.div_game',No
espn,espn,integer,nfl_games,'nfl_games.espn',No
ftn,ftn,real,nfl_games,'nfl_games.ftn',No
game_id,game_id,string,nfl_games,'nfl_games.game_id',Yes
game_type,game_type,string,nfl_games,'nfl_games.game_type',No
gameday,gameday,date,nfl_games,'nfl_games.gameday',No
gametime,gametime,string,nfl_games,'nfl_games.gametime',No
gsis,gsis,integer,nfl_games,'nfl_games.gsis',No
home_coach,home_coach,string,nfl_games,'nfl_games.home_coach',No
home_moneyline,home_moneyline,real,nfl_games,'nfl_games.home_moneyline',No
home_qb_id,home_qb_id,string,nfl_games,'nfl_games.home_qb_id',No
home_qb_name,home_qb_name,string,nfl_games,'nfl_games.home_qb_name',No
home_rest,home_rest,integer,nfl_games,'nfl_games.home_rest',No
home_score,home_score,real,nfl_games,'nfl_games.home_score',Yes
home_spread_odds,home_spread_odds,real,nfl_games,'nfl_games.home_spread_odds',No
home_team,home_team,string,nfl_games,'nfl_games.home_team',No
id,id,integer,nfl_games,'nfl_games.id',No
location,location,string,nfl_games,'nfl_games.location',No
nfl_detail_id,nfl_detail_id,string,nfl_games,'nfl_games.nfl_detail_id',No
old_game_id,old_game_id,integer,nfl_games,'nfl_games.old_game_id',No
over_odds,over_odds,real,nfl_games,'nfl_games.over_odds',No
overtime,overtime,real,nfl_games,'nfl_games.overtime',No
pff,pff,real,nfl_games,'nfl_games.pff',No
pfr,pfr,string,nfl_games,'nfl_games.pfr',No
referee,referee,string,nfl_games,'nfl_games.referee',No
result,result,real,nfl_games,'nfl_games.result',No
roof,roof,string,nfl_games,'nfl_games.roof',No
season,season,integer,nfl_games,'nfl_games.season',No
spread_line,spread_line,real,nfl_games,'nfl_games.spread_line',No
stadium,stadium,string,nfl_games,'nfl_games.stadium',No
stadium_id,stadium_id,string,nfl_games,'nfl_games.stadium_id',No
surface,surface,string,nfl_games,'nfl_games.surface',No
temp,temp,real,nfl_games,'nfl_games.temp',No
total,total,real,nfl_games,'nfl_games.total',No
total_line,total_line,real,nfl_games,'nfl_games.total_line',No
under_odds,under_odds,real,nfl_games,'nfl_games.under_odds',No
updated_date,updated_date,date,nfl_games,'nfl_games.updated_date',No
week,week,integer,nfl_games,'nfl_games.week',No
weekday,weekday,string,nfl_games,'nfl_games.weekday',No
wind,wind,real,nfl_games,'nfl_games.wind',No
created_date,created_date (nfl_teams),date,nfl_teams,'nfl_teams.created_date',Yes
team_abbr,team_abbr,string,nfl_teams,'nfl_teams.team_abbr',No
team_color,team_color,string,nfl_teams,'nfl_teams.team_color',No
team_color2,team_color2,string,nfl_teams,'nfl_teams.team_color2',No
team_color3,team_color3,string,nfl_teams,'nfl_teams.team_color3',No
team_color4,team_color4,string,nfl_teams,'nfl_teams.team_color4',No
team_conf,team_conf,string,nfl_teams,'nfl_teams.team_conf',No
team_conference_logo,team_conference_logo,string,nfl_teams,'nfl_teams.team_conference_logo',No
team_division,team_division,string,nfl_teams,'nfl_teams.team_division',Yes
team_id,team_id,integer,nfl_teams,'nfl_teams.team_id',No
team_league_logo,team_league_logo,string,nfl_teams,'nfl_teams.team_league_logo',No
team_logo_espn,team_logo_espn,string,nfl_teams,'nfl_teams.team_logo_espn',No
team_logo_squared,team_logo_squared,string,nfl_teams,'nfl_teams.team_logo_squared',Yes
team_logo_wikipedia,team_logo_wikipedia,string,nfl_teams,'nfl_teams.team_logo_wikipedia',No
team_name,team_name,string,nfl_teams,'nfl_teams.team_name',No
team_nick,team_nick,string,nfl_teams,'nfl_teams.team_nick',No
team_wordmark,team_wordmark,string,nfl_teams,'nfl_teams.team_wordmark',No
updated_date,updated_date (nfl_teams),date,nfl_teams,'nfl_teams.updated_date',No
