Original_Field_Name,Tableau_Field_Name,Data_Type,Table_Name,Table_Reference_SQL,Used_In_Workbook,Type,Calculation_Formula
abbr,abbr (props_teams),string,Away,Away.abbr as abbr (props_teams),No,Column,
conference,conference (props_teams),string,Away,Away.conference as conference (props_teams),No,Column,
display_name,display_name (props_teams),string,Away,Away.display_name as display_name (props_teams),No,Column,
division,division (props_teams),string,Away,Away.division as division (props_teams),No,Column,
full_name,full_name (props_teams),string,Away,Away.full_name as full_name (props_teams),No,Column,
id,id (props_teams) #1,integer,Away,Away.id as id (props_teams) #1,No,Column,
logo,logo (props_teams),string,Away,Away.logo as logo (props_teams),No,Column,
team_id,team_id (props_teams),string,Away,Away.team_id as team_id (props_teams),No,Column,
created_date,created_date (nfl_teams),date,Away Teams,Away Teams.created_date as created_date (nfl_teams),No,Column,
team_abbr,team_abbr (nfl_teams),string,Away Teams,Away Teams.team_abbr as team_abbr (nfl_teams),No,Column,
team_color,team_color (nfl_teams),string,Away Teams,Away Teams.team_color as team_color (nfl_teams),No,Column,
team_color2,team_color2 (nfl_teams),string,Away Teams,Away Teams.team_color2 as team_color2 (nfl_teams),No,Column,
team_color3,team_color3 (nfl_teams),string,Away Teams,Away Teams.team_color3 as team_color3 (nfl_teams),No,Column,
team_color4,team_color4 (nfl_teams),string,Away Teams,Away Teams.team_color4 as team_color4 (nfl_teams),No,Column,
team_conf,team_conf (nfl_teams),string,Away Teams,Away Teams.team_conf as team_conf (nfl_teams),No,Column,
team_conference_logo,team_conference_logo (nfl_teams),string,Away Teams,Away Teams.team_conference_logo as team_conference_logo (nfl_teams),No,Column,
team_division,team_division (nfl_teams),string,Away Teams,Away Teams.team_division as team_division (nfl_teams),No,Column,
team_id,team_id (nfl_teams) #1,integer,Away Teams,Away Teams.team_id as team_id (nfl_teams) #1,No,Column,
team_league_logo,team_league_logo (nfl_teams),string,Away Teams,Away Teams.team_league_logo as team_league_logo (nfl_teams),No,Column,
team_logo_espn,team_logo_espn (nfl_teams),string,Away Teams,Away Teams.team_logo_espn as team_logo_espn (nfl_teams),No,Column,
team_logo_squared,team_logo_squared (nfl_teams),string,Away Teams,Away Teams.team_logo_squared as team_logo_squared (nfl_teams),Yes,Column,
team_logo_wikipedia,team_logo_wikipedia (nfl_teams),string,Away Teams,Away Teams.team_logo_wikipedia as team_logo_wikipedia (nfl_teams),No,Column,
team_name,team_name (nfl_teams),string,Away Teams,Away Teams.team_name as team_name (nfl_teams),No,Column,
team_nick,team_nick (nfl_teams),string,Away Teams,Away Teams.team_nick as team_nick (nfl_teams),No,Column,
team_wordmark,team_wordmark (nfl_teams),string,Away Teams,Away Teams.team_wordmark as team_wordmark (nfl_teams),No,Column,
updated_date,updated_date (nfl_teams),date,Away Teams,Away Teams.updated_date as updated_date (nfl_teams),No,Column,
abbr,abbr,string,Home,Home.abbr as abbr,No,Column,
conference,conference,string,Home,Home.conference as conference,No,Column,
display_name,display_name,string,Home,Home.display_name as display_name,No,Column,
division,division,string,Home,Home.division as division,No,Column,
full_name,full_name,string,Home,Home.full_name as full_name,Yes,Column,
id,id (props_teams),integer,Home,Home.id as id (props_teams),No,Column,
logo,logo,string,Home,Home.logo as logo,No,Column,
team_id,team_id,string,Home,Home.team_id as team_id,No,Column,
created_date,created_date,date,Home Teams,Home Teams.created_date as created_date,No,Column,
